,Unnamed: 0,ALT_NORMAL,ALTGEOM,AR_LIVRE,GRAVIDADE,INSTITUICA,LATITUDE,LONGITUDE,X,Y,__X,__Y,_x,_y,distance_to_main_line,Path_Distance
0,3893,1152.56636074103,1156.02445251872,38.2005050884151,978647.4,PETROBRAS,-25.1457,-51.2867,5273565.52317846,7215053.54624902,5273565.52317846,7215053.54624902,5273565.52317846,7215053.54624902,22392.084452204028,0.0
1,32741,1171.68,0.0,0.0,978638.599999999,PETROBRAS,-25.0857,-51.2782,5274556.49790117,7221687.58151488,5274556.49790117,7221687.58151488,5274556.49790117,7221687.58151488,18827.67671062493,6707.641523644902
2,3884,867.332742552825,870.338919786978,1.9667631128967,978694.59,PETROBRAS,-25.08,-51.2198,5280459.66256928,7222199.5527428,5280459.66256928,7222199.5527428,5280459.66256928,7222199.5527428,22976.92472207408,12632.965787939826
3,32733,727.59,0.0,0.0,978723.739999999,PETROBRAS,-25.0286,-51.2224,5280314.37512672,7227903.03359093,5280314.37512672,7227903.03359093,5280314.37512672,7227903.03359093,19155.256431179947,18338.296823554614
4,32734,688.44,0.0,0.0,978728.439999999,PETROBRAS,-25.0149,-51.1633,5286309.66095029,7229298.2009265,5286309.66095029,7229298.2009265,5286309.66095029,7229298.2009265,22799.743769256645,24493.777633413312
5,33238,758.23,0.0,0.0,978711.4,PETROBRAS,-24.954,-51.1651,5286269.07819975,7236053.40597218,5286269.07819975,7236053.40597218,5286269.07819975,7236053.40597218,18373.205755461437,31249.104581001884
6,4377,607.00714889818,609.033004228726,-21.8448196730647,978736.86,PETROBRAS,-24.8741,-51.1721,5285746.44865113,7244925.79699842,5285746.44865113,7244925.79699842,5285746.44865113,7244925.79699842,12202.951919550611,40136.875064514126
7,33224,575.22,0.0,0.0,978742.29,PETROBRAS,-24.8304,-51.1476,5288323.04599542,7249718.7650718,5288323.04599542,7249718.7650718,5288323.04599542,7249718.7650718,11040.553122836554,45578.510556444984
8,1394,519.957559101174,521.890291370822,-24.7832719691894,978757.57,IAG-USP,-24.8275,-51.1346,5289643.65450579,7250012.72693518,5289643.65450579,7250012.72693518,5289643.65450579,7250012.72693518,11852.032910781169,46931.44086314391
9,33225,667.48,0.0,0.0,978728.609999999,PETROBRAS,-24.8512,-51.0925,5293842.6176885,7247295.24456254,5293842.6176885,7247295.24456254,5293842.6176885,7247295.24456254,16808.703590897378,51933.040832689905
10,28922,840.0,0.0,0.0,978690.29,IAG-USP,-24.8765,-51.0477,5298308.81068785,7244393.01761615,5298308.81068785,7244393.01761615,5298308.81068785,7244393.01761615,22088.503769020932,57259.37176080503
11,33232,911.9,0.0,0.0,978680.819999999,PETROBRAS,-24.8767,-51.0334,5299753.01266666,7244339.44876551,5299753.01266666,7244339.44876551,5299753.01266666,7244339.44876551,23219.97458984276,58704.56689550415
